url,comments,language,status
https://fairfield.dailyvoice.com/rss/,Fairfield,en,active
https://www.thenews.com.pk/rss/1/12,global,en,active
https://www.fox47news.com/neighborhoods/east-lansing-okemos.rss,"Lansing, MI, East Lansing, Okemos",en,active
https://charlestoncitypaper.com/feed/,Charleston,en,active
https://timesofsandiego.com/feed,San Diego,en,active
https://www.katc.com/news/covering-louisiana.rss,"Lafayette, LA, Louisiana",en,active
https://www.obantimes.co.uk/feed/,"Oban, UK",en,active
https://www.africa-press.net/botswana/feed,Botswana,en,active
https://ladailypost.com/feed/,Los Alamos,en,active
http://www.ibtimes.sg/rss.xml,"Singapore, Asia",en,active
https://www.winnmediaskn.com/feed/,"St. Kitts and Nevis, Caribbean",en,active
https://www.latestnigeriannews.com/feed/allnews/rss.xml,Nigerian,en,active
https://www.wral.com/news/rss/142/,Raleigh,en,active
https://timesofoman.com/feed/oman,Oman,en,active
http://billingsgazette.com/search/?f=rss&t=article&c=news&l=50&s=start_time&sd=desc,Billings,en,active
https://www.fox47news.com/neighborhoods/state-capitol.rss,"Lansing, MI, State Capitol",en,active
https://www.krqe.com/feed/,Albuquerque,en,active
https://www.citizen.co.za/news/south-africa/feed/,South Africa,en,active
http://www.berkshireeagle.com/search/?f=rss&t=article&c=news/local&l=50&s=start_time&sd=desc,Berkshire,en,active
http://feeds.brazilsun.com/rss/24437442923341f1,Brazil,en,active
https://www.rferl.org/api/,global,en,active
https://nationaldailyng.com/category/latest/feed/,Nigerian,en,active
https://neusroom.com/feed/,"",en,active
https://www.fox47news.com/neighborhoods/jackson-hillsdale.rss,"Jackson, Hillsdale",en,active
https://www.eco-business.com/feeds/all/,global,en,active
http://www.benningtonbanner.com/search/?f=rss&t=article&c=community-news&l=50&s=start_time&sd=desc,Bennington,en,active
https://www.fox7austin.com/rss/tags/crime-publicsafety,Austin,en,active
